Name,Short code,Variable,Units,Source spatial resolution,Source termporal resolution,Coverage,Donwload link,Citation
cpc-global_tp_mm_land_197901_202309_025_yearly.nc,cpc,Precipitation,mm,0.5° × 0.5°,daily,1979-present,https://zenodo.org/records/14290970,"Chen, M., and P. Xie, 2008: CPC unified gauge-based analysis of global daily precipitation. Western Pacific Geophysics Meeting, Cairns, Queensland, Australia, Amer. Geophys. Union, 179–184."
gpcc-v2022_tp_mm_land_198101_202012_025_yearly.nc,gpcc,Precipitation,mm,0.25° × 0.25°,monthly,1891-2020,https://zenodo.org/records/14290970,"Schneider, U., P. Finger, A. Meyer-Christoffer, E. Rustemeier, M. Ziese, and A. Becker, 2017: Evaluating the hydrological cycle over land using the newly corrected precipitation climatology from the Global Precipitation Climatology Centre (GPCC). Atmosphere, 8, 52, https://doi.org/10.3390/atmos8030052."
em-earth_tp_mm_land_195001_201912_025_yearly.nc,em-earth,Precipitation,mm,0.1° × 0.1°,daily,1950-2019,https://zenodo.org/records/14290970,"Tang, G., M. P. Clark, and S. M. Papalexiou, 2022: EM-Earth: The Ensemble Meteorological Dataset for Planet Earth. Bull. Amer. Meteor. Soc., 103, E996–E1018, https://doi.org/10.1175/BAMS-D-21-0106.1."
era5-land_tp_mm_land_195001_202112_025_yearly.nc,era5-land,Precipitation,mm,0.1° × 0.1°,hourly,1950-present,https://zenodo.org/records/14290970,"Mu?oz-Sabater, J., and Coauthors, 2021: ERA5-land: A state-of-the-art global reanalysis dataset for land applications. Earth Syst. Sci. Data, 13, 4349–4383, https://doi.org/10.5194/essd-13-4349-2021."
fldas_tp_mm_land_198201_2022112_025_yearly.nc,fldas,Precipitation,mm,0.1° × 0.1°,monthly,1982-present,https://zenodo.org/records/14290970,"McNally, A., and Coauthors, 2017: A land data assimilation system for sub-Saharan Africa food and water security applications. Sci. Data, 4, 170012, https://doi.org/10.1038/sdata.2017.12."
merra2-land_tp_mm_land_198001_202308_025_yearly.nc,merra2-land,Precipitation,mm,0.5° × 0.625°,hourly,1980-present,https://zenodo.org/records/14290970,"Reichle, R. H., R. D. Koster, G. J. M. D. Lannoy, B. A. Forman, Q. Liu, S. P. P. Mahanama, and A. Touré, 2011: Assessment and enhancement of MERRA land surface hydrology estimates. J. Climate, 24, 6322–6338, https://doi.org/10.1175/JCLI-D-10-05033.1."
precl_tp_mm_land_194801_202208_025_yearly.nc,precl,Precipitation,mm,0.5° × 0.5°,monthly,1948-present,https://zenodo.org/records/14290970,"Chen, M., P. Xie, J. E. Janowiak, and P. A. Arkin, 2002: Global Land Precipitation: A 50-yr Monthly Analysis Based on Gauge Observations. J. Hydrometeor., 3, 249–266, https://doi.org/10.1175/1525-7541(2002)003<0249:GLPAYM>2.0.CO;2."
terraclimate_tp_mm_land_195801_202112_025_yearly.nc,terra,Precipitation,mm,4 (km),monthly,1958-present,https://zenodo.org/records/14290970,"Abatzoglou, J. T., S. Z. Dobrowski, S. A. Parks, and K. C. Hegewisch, 2018: TerraClimate, a high-resolution global dataset of monthly climate and climatic water balance from 1958-2015. Sci. Data, 5, 170191, https://doi.org/10.1038/sdata.2017.191."
bess_e_mm_land_198201_201912_025_yearly.nc,bess,Evapotranspiration,mm,0.05° × 0.05°,daily,1982-2019,https://zenodo.org/records/14622177,"Li, B., Y. Ryu, C. Jiang, B. Dechant, J. Liu, Y. Yan, and X. Li. 2023. “BESSv2.0: A Satellite-Based and Coupled-Process Model for Quantifying Long-Term Global Land–Atmosphere Fluxes.” Remote Sensing of Environment 295: 113696."
era5-land_e_mm_land_195001_202112_025_yearly.nc,era5-land,Evapotranspiration,mm,0.1° × 0.1°,hourly,1950-present,https://zenodo.org/records/14622177,"Mu?oz-Sabater, Joaquín, Gianpaolo Balsamo, Emanuel Dutra, Hans Hersbach, Patricia López, Diego Miralles, Robin van der Schalie, et al. 2021. “ERA5-Land: A state-of-the-art global reanalysis dataset for land applications.” Earth System Science Data 13 (9): 4349–83. https://doi.org/10.5194/essd-13-4349-2021."
etmonitor_e_mm_land_200006_201912_025_yearly.nc,ETMonitor,Evapotranspiration,mm,1 (km),daily,2000-2021,https://zenodo.org/records/14622177,"Zheng, C., L. Chaolei, L. Jia, and H. Guangcheng. 2022. “Global Land Surface Evapotranspiration Monitoring by ETMonitor Model Driven by Multi-Source Satellite Earth Observations.” Journal of Hydrology 613: 128444."
etsynthesis_e_mm_land_200001_201912_025_yearly.nc,ETSynthesis,Evapotranspiration,mm,1 (km),monthly,1982-2019,https://zenodo.org/records/14622177,"Elnashar, A., Wang, L., Wu, B., Zhu, W., and Zeng, H.: Synthesis of global actual evapotranspiration from 1982 to 2019, Earth Syst. Sci. Data, 13, 447–480, https://doi.org/10.5194/essd-13-447-2021, 2021."
fldas_e_mm_land_198201_202212_025_yearly.nc,fldas,Evapotranspiration,mm,0.1° × 0.1°,monthly,1982-present,https://zenodo.org/records/14622177,"McNally, Amy, Kristi Arsenault, Sujay Kumar, Shraddhanand Shukla, Pete Peterson, Shugong Wang, Chris Funk, Christa D. Peters-Lidard, and James P. Verdin. 2017. “A Land Data Assimilation System for Sub-Saharan Africa Food and Water Security Applications.” Scientific Data 4 (1): 170012. https://doi.org/10.1038/sdata.2017.12."
gleam-v4-1a_e_mm_land_198001_202312_025_yearly.nc,gleam,Evapotranspiration,mm,0.1° × 0.1°,daily,1980–2023,https://zenodo.org/records/14622177,"Miralles DG, Bonte O, Koppa A, Baez-Villanueva OM, Tronquo E, Zhong F, Beck HE, Hulsman P, Dorigo W, Verhoest NEC, Haghdoost S. GLEAM4: global land evaporation and soil moisture dataset at 0.1 resolution from 1980 to near present. Sci Data. 2025 Mar 10;12(1):416. doi: 10.1038/s41597-025-04610-y. PMID: 40064907; PMCID: PMC11894173."
merra2_e_mm_land_198001_202301_025_yearly.nc,merra-2,Evapotranspiration,mm,0.5° × 0.625°,hourly,1980-present,https://zenodo.org/records/14622177,"Gelaro, Ronald, Will McCarty, Max J. Suárez, Ricardo Todling, Andrea Molod, Lawrence Takacs, Cynthia A. Randles, et al. 2017. “The Modern-Era Retrospective Analysis for Research and Applications, Version 2 (MERRA-2).” Journal of Climate 30 (14): 5419–54. https://doi.org/10.1175/JCLI-D-16-0758.1."
terraclimate_e_mm_land_195801_202112_025_yearly.nc,terra,Evapotranspiration,mm,4 (km),monthly,1958-present,https://zenodo.org/records/14622177,"Abatzoglou, J. T., S. Z. Dobrowski, S. A. Parks, and K. C. Hegewisch, 2018: TerraClimate, a high-resolution global dataset of monthly climate and climatic water balance from 1958-2015. Sci. Data, 5, 170191, https://doi.org/10.1038/sdata.2017.191."
mswx-past_t2m_degC_land_197901_202512_025_monthly.nc,mswx,2m air temperature,°C,0.1° × 0.1°,3-hourly,1979–present,https://zenodo.org/records/21486161,"Beck, H. E., A. I. J. M. van Dijk, P. R. Larraondo, T. R. McVicar, M. Pan, E. Dutra, and D. G. Miralles, 2022: MSWX: Global 3-Hourly 0.1° Bias-Corrected Meteorological Data Including Near-Real-Time Updates and Forecast Ensembles. Bull. Amer. Meteor. Soc., 103, E710–E732, https://doi.org/10.1175/BAMS-D-21-0145.1."
mswx-past_tmax_degC_land_197901_202512_025_monthly.nc,mswx,2m max air temperature,°C,0.1° × 0.1°,3-hourly,1979–present,https://zenodo.org/records/21486161,"Beck, H. E., A. I. J. M. van Dijk, P. R. Larraondo, T. R. McVicar, M. Pan, E. Dutra, and D. G. Miralles, 2022: MSWX: Global 3-Hourly 0.1° Bias-Corrected Meteorological Data Including Near-Real-Time Updates and Forecast Ensembles. Bull. Amer. Meteor. Soc., 103, E710–E732, https://doi.org/10.1175/BAMS-D-21-0145.1."
mswx-past_tmin_degC_land_197901_202512_025_monthly.nc,mswx,2m min air temperature,°C,0.1° × 0.1°,3-hourly,1979–present,https://zenodo.org/records/21486161,"Beck, H. E., A. I. J. M. van Dijk, P. R. Larraondo, T. R. McVicar, M. Pan, E. Dutra, and D. G. Miralles, 2022: MSWX: Global 3-Hourly 0.1° Bias-Corrected Meteorological Data Including Near-Real-Time Updates and Forecast Ensembles. Bull. Amer. Meteor. Soc., 103, E710–E732, https://doi.org/10.1175/BAMS-D-21-0145.1."
merra2_t2m_degC_land_198001_202511_025_monthly.nc,merra-2,2m air temperature,°C,0.5° × 0.625°,hourly,1980–present,https://zenodo.org/records/21486162,"Gelaro, R., McCarty, W., Suárez, M. J., Todling, R., Molod, A., Takacs, L., Randles, C. A., Darmenov, A., Bosilovich, M. G., Reichle, R., Wargan, K., Coy, L., Cullather, R., Draper, C., Akella, S., Buchard, V., Conaty, A., da Silva, A. M., Gu, W., Kim, G., Koster, R., Lucchesi, R., Merkova, D., Nielsen, J. E., Partyka, G., Pawson, S., Putman, W., Rienecker, M., Schubert, S. D., Sienkiewicz, M., & Zhao, B. (2017). The Modern-Era Retrospective Analysis for Research and Applications, Version 2 (MERRA-2). Journal of Climate, 30(14), 5419-5454. https://doi.org/10.1175/JCLI-D-16-0758.1"
merra2_tmax_degC_land_198001_202512_025_monthly.nc,merra-2,2m max air temperature,°C,0.5° × 0.625°,hourly,1980–present,https://zenodo.org/records/21486163,"Gelaro, R., McCarty, W., Suárez, M. J., Todling, R., Molod, A., Takacs, L., Randles, C. A., Darmenov, A., Bosilovich, M. G., Reichle, R., Wargan, K., Coy, L., Cullather, R., Draper, C., Akella, S., Buchard, V., Conaty, A., da Silva, A. M., Gu, W., Kim, G., Koster, R., Lucchesi, R., Merkova, D., Nielsen, J. E., Partyka, G., Pawson, S., Putman, W., Rienecker, M., Schubert, S. D., Sienkiewicz, M., & Zhao, B. (2017). The Modern-Era Retrospective Analysis for Research and Applications, Version 2 (MERRA-2). Journal of Climate, 30(14), 5419-5454. https://doi.org/10.1175/JCLI-D-16-0758.2"
merra2_tmin_degC_land_198001_202512_025_monthly.nc,merra-2,2m max air temperature,°C,0.5° × 0.625°,hourly,1980–present,https://zenodo.org/records/21486164,"Gelaro, R., McCarty, W., Suárez, M. J., Todling, R., Molod, A., Takacs, L., Randles, C. A., Darmenov, A., Bosilovich, M. G., Reichle, R., Wargan, K., Coy, L., Cullather, R., Draper, C., Akella, S., Buchard, V., Conaty, A., da Silva, A. M., Gu, W., Kim, G., Koster, R., Lucchesi, R., Merkova, D., Nielsen, J. E., Partyka, G., Pawson, S., Putman, W., Rienecker, M., Schubert, S. D., Sienkiewicz, M., & Zhao, B. (2017). The Modern-Era Retrospective Analysis for Research and Applications, Version 2 (MERRA-2). Journal of Climate, 30(14), 5419-5454. https://doi.org/10.1175/JCLI-D-16-0758.3"
